start_date,end_date,duration
2000-01-01,2000-03-23,83
2000-03-26,2000-04-02,8
2000-04-04,2000-04-05,2
2000-04-07,2000-04-09,3
2000-04-16,2000-04-16,1
2000-04-23,2000-04-23,1
2000-04-28,2000-04-29,2
2000-05-01,2000-05-01,1
2000-05-03,2000-05-06,4
2000-05-16,2000-05-16,1
2000-05-18,2000-05-20,3
2000-05-28,2000-05-28,1
2000-05-31,2000-06-01,2
2000-06-12,2000-06-12,1
2000-07-09,2000-07-09,1
2000-07-13,2000-07-13,1
2000-08-07,2000-08-07,1
2000-09-12,2000-09-12,1
2000-10-24,2000-11-05,13
2000-11-08,2001-03-06,119
2001-03-08,2001-03-08,1
2001-03-12,2001-03-13,2
2001-03-15,2001-03-17,3
2001-03-19,2001-03-20,2
2001-03-24,2001-03-28,5
2001-03-30,2001-03-31,2
2001-04-02,2001-04-02,1
2001-04-08,2001-04-08,1
2001-04-10,2001-04-14,5
2001-04-16,2001-04-18,3
2001-04-23,2001-04-23,1
2001-04-28,2001-05-03,6
2001-05-05,2001-05-11,7
2001-05-17,2001-05-17,1
2001-06-04,2001-06-05,2
2001-07-01,2001-07-01,1
2001-10-17,2001-10-22,6
2001-11-05,2001-11-08,4
2001-11-12,2001-11-12,1
2001-11-16,2001-11-17,2
2001-11-20,2001-11-20,1
2001-11-22,2002-03-08,107
2002-03-12,2002-03-12,1
2002-03-14,2002-03-14,1
2002-03-16,2002-03-16,1
2002-03-22,2002-03-26,5
2002-03-30,2002-04-03,5
2002-04-05,2002-04-16,12
2002-04-21,2002-04-21,1
2002-04-23,2002-04-25,3
2002-05-01,2002-05-01,1
2002-05-04,2002-05-06,3
2002-05-08,2002-05-10,3
2002-05-12,2002-05-14,3
2002-05-19,2002-05-20,2
2002-05-23,2002-05-26,4
2002-05-28,2002-05-29,2
2002-06-02,2002-06-02,1
2002-06-05,2002-06-05,1
2002-06-09,2002-06-10,2
2002-06-22,2002-06-22,1
2002-06-30,2002-07-01,2
2002-07-16,2002-07-16,1
2002-07-19,2002-07-19,1
2002-08-10,2002-08-10,1
2002-09-07,2002-09-07,1
2002-09-18,2002-09-18,1
2002-09-22,2002-09-22,1
2002-09-29,2002-09-29,1
2002-10-09,2002-10-09,1
2002-10-17,2002-10-17,1
2002-11-03,2002-11-03,1
2002-11-09,2002-11-09,1
2002-11-11,2002-11-12,2
2002-11-16,2002-12-04,19
2002-12-06,2002-12-14,9
2002-12-16,2003-02-20,67
2003-02-22,2003-03-25,32
2003-03-28,2003-04-07,11
2003-04-09,2003-04-11,3
2003-04-14,2003-04-14,1
2003-04-16,2003-04-17,2
2003-04-23,2003-04-25,3
2003-04-29,2003-04-30,2
2003-05-02,2003-05-02,1
2003-05-05,2003-05-05,1
2003-05-09,2003-05-10,2
2003-05-16,2003-05-20,5
2003-05-27,2003-05-27,1
2003-06-06,2003-06-06,1
2003-06-26,2003-06-26,1
2003-08-12,2003-08-12,1
2003-09-12,2003-09-12,1
2003-09-24,2003-09-25,2
2003-09-29,2003-09-29,1
2003-10-16,2003-10-16,1
2003-10-18,2003-10-18,1
2003-10-22,2003-10-22,1
2003-10-25,2003-10-28,4
2003-10-31,2003-10-31,1
2003-11-05,2003-11-05,1
2003-11-12,2003-11-21,10
2003-11-23,2003-11-28,6
2003-11-30,2003-11-30,1
2003-12-02,2003-12-08,7
2003-12-10,2004-04-02,115
2004-04-07,2004-04-07,1
2004-04-11,2004-04-13,3
2004-04-15,2004-04-15,1
2004-04-18,2004-04-18,1
2004-04-21,2004-04-21,1
2004-04-26,2004-04-27,2
2004-05-04,2004-05-06,3
2004-05-09,2004-05-09,1
2004-05-11,2004-05-12,2
2004-05-15,2004-05-20,6
2004-05-23,2004-05-23,1
2004-06-06,2004-06-06,1
2004-06-11,2004-06-11,1
2004-06-16,2004-06-16,1
2004-07-03,2004-07-04,2
2004-07-12,2004-07-12,1
2004-08-29,2004-08-29,1
2004-09-09,2004-09-09,1
2004-09-15,2004-09-16,2
2004-10-06,2004-10-08,3
2004-10-18,2004-10-19,2
2004-10-23,2004-10-24,2
2004-10-28,2004-10-28,1
2004-10-31,2004-10-31,1
2004-11-04,2004-11-04,1
2004-11-07,2004-11-17,11
2004-11-21,2004-11-22,2
2004-11-25,2005-03-10,106
2005-03-13,2005-03-15,3
2005-03-18,2005-03-19,2
2005-03-21,2005-03-26,6
2005-03-28,2005-04-08,12
2005-04-10,2005-04-10,1
2005-04-12,2005-04-12,1
2005-04-15,2005-04-15,1
2005-04-18,2005-04-18,1
2005-04-20,2005-04-21,2
2005-04-29,2005-04-29,1
2005-05-07,2005-05-07,1
2005-05-09,2005-05-09,1
2005-05-14,2005-05-15,2
2005-05-19,2005-05-19,1
2005-05-30,2005-05-31,2
2005-06-03,2005-06-04,2
2005-06-14,2005-06-14,1
2005-06-26,2005-06-26,1
2005-07-14,2005-07-14,1
2005-07-19,2005-07-19,1
2005-07-23,2005-07-23,1
2005-09-22,2005-09-23,2
2005-09-25,2005-09-25,1
2005-10-03,2005-10-03,1
2005-11-01,2005-11-03,3
2005-11-06,2006-02-21,108
2006-02-23,2006-03-07,13
2006-03-09,2006-03-09,1
2006-03-11,2006-03-16,6
2006-03-20,2006-03-24,5
2006-03-30,2006-04-04,6
2006-04-06,2006-04-09,4
2006-04-11,2006-04-12,2
2006-04-14,2006-04-15,2
2006-04-21,2006-04-21,1
2006-04-24,2006-04-30,7
2006-05-05,2006-05-05,1
2006-06-02,2006-06-03,2
2006-06-07,2006-06-09,3
2006-06-14,2006-06-14,1
2006-06-22,2006-06-23,2
2006-07-14,2006-07-14,1
2006-07-26,2006-07-26,1
2006-08-31,2006-08-31,1
2006-10-12,2006-10-16,5
2006-10-29,2006-10-29,1
2006-11-01,2006-11-06,6
2006-11-18,2006-12-04,17
2006-12-06,2007-03-15,100
2007-03-17,2007-03-26,10
2007-03-29,2007-04-07,10
2007-04-09,2007-04-10,2
2007-04-15,2007-04-16,2
2007-04-18,2007-04-19,2
2007-04-22,2007-04-23,2
2007-04-29,2007-04-29,1
2007-05-02,2007-05-03,2
2007-05-08,2007-05-11,4
2007-05-19,2007-05-21,3
2007-05-26,2007-05-26,1
2007-07-19,2007-07-19,1
2007-07-27,2007-07-27,1
2007-09-23,2007-09-23,1
2007-09-28,2007-09-28,1
2007-10-11,2007-10-13,3
2007-10-23,2007-10-24,2
2007-10-26,2007-11-02,8
2007-11-05,2007-11-05,1
2007-11-14,2007-11-14,1
2007-11-17,2008-01-20,65
2008-01-22,2008-03-10,49
2008-03-12,2008-03-12,1
2008-03-14,2008-03-15,2
2008-03-18,2008-03-25,8
2008-03-28,2008-03-29,2
2008-03-31,2008-03-31,1
2008-04-02,2008-04-07,6
2008-04-14,2008-04-14,1
2008-04-17,2008-04-18,2
2008-04-23,2008-04-23,1
2008-04-27,2008-04-28,2
2008-05-01,2008-05-01,1
2008-05-06,2008-05-08,3
2008-05-10,2008-05-11,2
2008-05-13,2008-05-14,2
2008-05-29,2008-05-29,1
2008-06-03,2008-06-04,2
2008-06-08,2008-06-08,1
2008-06-12,2008-06-12,1
2008-06-22,2008-06-23,2
2008-06-28,2008-07-01,4
2008-07-08,2008-07-08,1
2008-09-26,2008-09-28,3
2008-10-15,2008-10-15,1
2008-10-25,2008-10-26,2
2008-10-29,2008-11-01,4
2008-11-06,2008-11-06,1
2008-11-09,2008-11-09,1
2008-11-11,2009-02-27,109
2009-03-02,2009-03-24,23
2009-03-26,2009-04-02,8
2009-04-05,2009-04-05,1
2009-04-08,2009-04-08,1
2009-04-13,2009-04-14,2
2009-04-17,2009-04-17,1
2009-04-21,2009-04-24,4
2009-05-02,2009-05-05,4
2009-05-08,2009-05-09,2
2009-05-13,2009-05-19,7
2009-05-24,2009-05-24,1
