lookback_days,flood_mean_dry_days,noflood_mean_dry_days,difference,mannwhitney_p,pearson_r,pearson_p,spearman_r,spearman_p
7,2.702683942619158,1.9979253112033195,0.7047586314158383,3.4616645613667013e-08,0.33959137094355485,4.207771186749157e-245,0.41054867691300084,0.0
14,5.403401203146691,3.8842105263157896,1.5191906768309016,1.0123051928968078e-08,0.33095777181643443,5.427690994201388e-232,0.39209506464616867,0.0
30,11.542919944470153,8.241830065359476,3.301089879110677,8.081900697532296e-09,0.30714635788582484,4.046660031326569e-198,0.3546870797400644,4.6296819844820543e-268
60,22.945967835242392,16.61860465116279,6.327363184079601,7.3397050967746766e-09,0.24072362926441268,9.071678890957896e-120,0.2700309102241411,2.2815153999740562e-151
90,34.11621433542101,28.65795724465558,5.458257090765432,9.929584919782575e-05,0.16537279392908136,1.841392279236778e-56,0.1613109587830202,8.961030888245133e-54
120,45.18145864836571,43.45432692307692,1.7271317252887926,0.27465569473253937,0.09345617524879835,6.074460696153702e-19,0.04905058950975394,3.179569736004374e-06
180,67.41292660121552,76.15617128463477,-8.743244683419249,0.0001477375637516652,-0.017045205272905435,0.10680659502898342,-0.14729383718522082,1.3252991922513864e-44
