group,cropland,rangeland
never,0.9287455678444155,0.4632306068144268
under 1/yr,0.008567340609367724,0.09338311040955644
1 to 5/yr,0.013770536457092955,0.11409925151923958
5 to 15/yr,0.00965449905534028,0.08445060204382197
over 15/yr,0.03926205603378363,0.24483642921295526
