group,population,cells,share of population
never,1659633.883910777,3390,0.36046814097128654
under 1/yr,254307.21177309752,714,0.055234861587321
1 to 5/yr,390301.0189881753,832,0.08477236099948776
5 to 15/yr,329092.81522913557,637,0.07147809915348238
over 15/yr,1970772.050091193,2617,0.4280465372884223
