country,pearson_r,pearson_p,n_years
NE DRC,0.761017730450355,1.0013250122815457e-05,25
Sudan central,0.46904720425836466,0.018017169641327647,25
Ethiopia,0.13804863667249564,0.5104947860610515,25
West Kenya,-0.09595661850982456,0.64819197180461,25
Uganda,-0.023697951415857725,0.9104753637865214,25
