country,year,dry_start,dry_end,dry_duration
Sudan central,2002,2002-01-01,2002-05-28,148
Sudan central,2003,2003-01-01,2003-05-27,147
Sudan central,2004,2004-01-01,2004-06-10,162
Sudan central,2005,2005-01-01,2005-05-23,143
Sudan central,2006,2006-01-01,2006-05-08,128
Sudan central,2007,2007-01-01,2007-04-28,118
Sudan central,2008,2008-01-01,2008-04-20,111
Sudan central,2009,2009-01-01,2009-06-08,159
Sudan central,2010,2010-01-01,2010-06-03,154
Sudan central,2011,2011-01-01,2011-05-21,141
Sudan central,2012,2012-01-01,2012-05-23,144
Sudan central,2013,2013-01-01,2013-06-18,169
Sudan central,2014,2014-01-01,2014-04-19,109
Sudan central,2015,2015-01-01,2015-05-30,150
Sudan central,2016,2016-01-01,2016-05-04,125
Sudan central,2017,2017-01-01,2017-05-14,134
Sudan central,2018,2018-01-01,2018-05-26,146
Sudan central,2019,2019-01-01,2019-05-27,147
Sudan central,2020,2020-01-01,2020-06-08,160
Sudan central,2021,2021-01-01,2021-05-03,123
Sudan central,2022,2022-01-01,2022-06-27,178
Sudan central,2023,2023-01-01,2023-06-03,154
Sudan central,2024,2024-01-01,2024-07-11,193
