country,mean_lag_days,median_lag_days,std_lag_days,n_years
NE DRC,78.72727272727273,-11.0,158.3970844543433,22
South Sudan,91.8,-29.0,163.43143312512845,25
West Kenya,105.2,-2.0,163.0079241427647,25
Ethiopia,115.95454545454545,93.5,164.16991119038755,22
Uganda,121.19047619047619,26.0,157.11321365423694,21
Sudan central,166.84615384615384,193.0,83.61503667986015,13
