feature,pearson_r,pearson_p,spearman_r
flood_lag_7,0.8396723933973227,0.0,0.7635683271687853
flood_lag_14,0.8064813599874433,0.0,0.7269810908029689
flood_lag_30,0.7355160572663595,0.0,0.6653640509219438
flood_lag_60,0.5524930480809424,0.0,0.5052233037704715
flood_lag_90,0.40035540646038903,0.0,0.3506371883664021
dry_days_7,0.33959137094355485,4.207771186749157e-245,0.41054867691300084
dry_days_14,0.33095777181643443,5.427690994201388e-232,0.39209506464616867
rain_cumul_7,-0.3133262900454382,3.647718320364481e-207,-0.42312752025996925
rain_cumul_14,-0.3073735805277175,4.746794914444404e-199,-0.3925397800271665
dry_days_30,0.30714635788582484,4.046660031326569e-198,0.3546870797400644
rain_cumul_30,-0.2846928184730511,7.838240492718109e-170,-0.3310180076029967
dry_days_60,0.24072362926441268,9.071678890957896e-120,0.2700309102241411
runoff_cumul_7,-0.23811655910188295,6.632383340420153e-118,-0.25569436954885827
rain_cumul_60,-0.22614839566956985,3.0740798540013397e-106,-0.21307516431275111
runoff_cumul_14,-0.2219117253397274,2.8722925146753235e-102,-0.21682514317060314
runoff_cumul_30,-0.18282696882206406,1.8078983654953074e-69,-0.1375690226592763
rain_cumul_90,-0.1483483470483983,4.27103655806642e-46,-0.0798950274655147
runoff_cumul_60,-0.10311359225843743,5.1506271252462285e-23,0.0002870671478608581
runoff_cumul_90,-0.018873579794084668,0.07130952145688448,0.12611998783834713
