area_id,lag_days,pearson_r,pearson_p,n_samples
100205,0,-0.6069171535592673,0.0,9130
100205,7,-0.6103072508189288,0.0,9130
100205,14,-0.6093138927609265,0.0,9130
100205,30,-0.5960258355599932,0.0,9130
100205,60,-0.5548536774418017,0.0,9130
1541,0,0.07292408358606843,3.1054707686535845e-12,9121
1541,7,0.07844769250962769,6.256445932751176e-14,9121
1541,14,0.08787938748160148,4.172519011849954e-17,9121
1541,30,0.105675331845016,4.5332312287871185e-24,9121
1541,60,0.1819632058149195,9.684785461336205e-69,9121
1542,0,0.040672590866815315,0.00010213318074129694,9121
1542,7,0.04822297580240008,4.07474875356e-06,9121
1542,14,0.05285801821374988,4.3953205000786093e-07,9121
1542,30,0.06776947749430008,9.24469776589269e-11,9121
1542,60,0.0993407501657439,1.9128442015379794e-21,9121
1543,0,0.27865366970881433,2.758423694268538e-162,9120
1543,7,0.2730250921410346,1.2704161509983186e-155,9120
1543,14,0.270759169774965,5.520083851548973e-153,9120
1543,30,0.2609855566631256,6.77338114360707e-142,9120
1543,60,0.21847931571070267,5.524006214782431e-99,9120
1544,0,-0.1652830700962265,7.149343288004002e-57,9121
1544,7,-0.14419770310230123,1.422830529948211e-43,9121
1544,14,-0.13462346107998532,3.746442595512246e-38,9121
1544,30,-0.11017871190743912,4.9096377253403575e-26,9121
1544,60,-0.033477970968293046,0.0013851113393726325,9121
1545,0,0.11367386779676607,1.2846168073205897e-27,9121
1545,7,0.12175123084993607,1.82361014589371e-31,9121
1545,14,0.12226425749595815,1.0174101634622131e-31,9121
1545,30,0.1369772047060331,1.890236212579756e-39,9121
1545,60,0.16794541420945736,1.0976786277845184e-58,9121
1547,0,0.16397383614683556,5.584121485505789e-56,9119
1547,7,0.1771408549592792,3.5886387773603107e-65,9119
1547,14,0.19673759121626863,3.0042169505749203e-80,9119
1547,30,0.23740973082412706,4.935462694136721e-117,9119
1547,60,0.2928439789889077,8.975780630484087e-180,9119
1548,0,-0.08104566151408728,9.115600236784824e-15,9119
1548,7,-0.06801360221706117,7.952699976142911e-11,9119
1548,14,-0.04633406084372989,9.583199675470051e-06,9119
1548,30,0.0037586584467313496,0.7196853511193713,9119
1548,60,0.11227557192654102,5.6666568146548404e-27,9119
11808,0,0.347066178281041,1.682640528869968e-256,9121
11808,7,0.3443424953642708,2.9145486482502842e-252,9121
11808,14,0.34216358622465,6.682358296117714e-249,9121
11808,30,0.3400607370627941,1.1026898983187292e-245,9121
11808,60,0.3229158962669173,2.257866269811542e-220,9121
11842,0,-0.23793664318062377,1.385059669153684e-117,9121
11842,7,-0.23698769717214271,1.2272774393669474e-116,9121
11842,14,-0.2373985186516538,4.77833872594093e-117,9121
11842,30,-0.23551035809315918,3.594109689585486e-115,9121
11842,60,-0.20769477204456016,1.9396450415295725e-89,9121
28546,0,-0.15298448854897015,7.002746060255914e-49,9120
28546,7,-0.13914547034553576,1.1626874420387367e-40,9120
28546,14,-0.13352770027476218,1.4912088930026936e-37,9120
28546,30,-0.11198099344597531,7.658324456921935e-27,9120
28546,60,-0.027491609483143536,0.008650934110022868,9120
1505,0,0.29953254061882656,2.0137446798994497e-188,9121
1505,7,0.3120971850689063,3.147532117228382e-205,9121
1505,14,0.30597267121021515,6.21972447068678e-197,9121
1505,30,0.3062605732176977,2.5600288421169707e-197,9121
1505,60,0.2806850321883927,9.53072157173011e-165,9121
